Relation with EOSC(-NL) should be addressed,0
Too abstract,0
Bigger capacity,0
Use Lego Serious Play to take on specific scenarios and use cases,0
More connection to information managers in organisaties - they know the best what the researchers needs are,0
With regard to involving faculty information managers: meet them where they are,0
More connections with research infrastructures broader than open science infrastructures,0
Send questions for attendees to share within their organisation before the meeting to collect input,0
We have discussed the principles for years already. Focus on use cases and implementation.,0
"Show examples.of the researcher journey process, interacting with internal and external systems",0
Please convince me that we need additional principle harmonizing work given that the universities have already signed off the NPOS principles.,0
Try to engage CIO's and board members too: people (partially)in charge of money (and what to spend it on),0
Ownership: invite other to organise the workshops PLUS ownership  on consultation (let them add questions to their network) AND on self assessment tool questions to be incorporated relevant to their,0
Announce inspraak moments earlier. Explain things better. Send a document with a proper management summary. Explain the connection with our OSNL project. We are not here to check your inspraak boxes,0
"Work definitions, boundaries of the terms Values, Principles, etc. (preferably with examples)",0
