Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (UTC),Session,Voter,Which infrastructure are you working on/do you represent?:,Upvotes,Which infrastructure are you working on/do you represent?: 2,Upvotes,Which infrastructure are you working on/do you represent?: 3,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 1,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 2,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 3,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 4,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 5,Upvotes,What are the current challenges creating a coherent and connected Open Science infrastructure landscape?: 6,Upvotes,What would a reference model need to address these challenges?:,Upvotes,Which proposed component of the reference model seems most valuable to you?:,"Beyond a reference model, what other expectations or needs do you have regarding a coherent Open Science infrastructure?: 1",Upvotes,"Beyond a reference model, what other expectations or needs do you have regarding a coherent Open Science infrastructure?: 2",Upvotes,"Beyond a reference model, what other expectations or needs do you have regarding a coherent Open Science infrastructure?: 3",Upvotes,Where could you contribute?:,Do you have additional suggestions or remarks or suggestions for Next events?: 1,Upvotes,Do you have additional suggestions or remarks or suggestions for Next events?: 2,Upvotes
2026-07-01,1,29,SPII core team - Universities of Applied Sciences (DCC-PO),0,,,,,"Varying levels of organisational maturity to connect to OS infrastructure, e.g. differences between universities and UAS",0,,,,,,,,,,,,,Interoperability framework,.,0,,,,,Use-case Open Educational Resources,Use Lego Serious Play to take on specific scenarios and use cases,0,,
2026-07-01,1,30,Funding open science infrastructure - does that count? ;-),0,,,,,Interoperabilità,0,,,,,,,,,,,,,Values & principles,,,,,,,Landscape overview,,,,
2026-07-01,1,31,WijsNL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,1,32,Governance structures for OS infra in NL,0,,,,,Governance,0,Operating standards,0,Shared guiding principles,0,Sustainable funding,0,,,,,,,Values & principles,A framework for engagement,0,A clear governance model,0,Sustainable funding,0,,,,,
2026-07-01,1,33,4TU.ResearchData,0,,,,,,,,,,,,,,,,,,,Interoperability framework,,,,,,,Shared terminology,,,,
2026-07-01,1,34,"CRIS, (data) Repositories,",0,,,,,,,,,,,,,,,,,,,Interoperability framework,,,,,,,,,,,
2026-07-01,1,35,,,,,,,Not invented here,0,,,,,,,,,,,,,Values & principles,,,,,,,,,,,
2026-07-01,1,36,OpenML,0,,,,,"discovery - knowing what's out there, how the projects relate, and where collaboration is even possible takes a lot of time and effort.",0,,,,,,,,,,,,,Interoperability framework,,,,,,,Interoperability framework,,,,
2026-07-01,1,37,"Broccoli, MORIS",0,,,,,Fragmentation,0,,,,,,,,,,,,,Shared terminology,,,,,,,Landscape overview,,,,
2026-07-01,1,38,CROWN,0,,,,,Cultural attitude towardsOS,0,,,,,,,,,,,,,Shared terminology,,,,,,,,,,,
2026-07-01,1,39,Research -ICT,0,,,,,Get good ownership of national infrastructure,0,,,,,,,,,,,,,Interoperability framework,,,,,,,,Invite researchers,0,,
2026-07-01,1,40,Everything at the TU/e but also HORA 3,0,,,,,IAM and security within the right boundaries,0,,,,,,,,,,,,,Values & principles,,,,,,,,,,,
2026-07-01,1,41,Health-RI,0,TDCC-LSH,0,,,Aligning existing already developed solutions,0,,,,,,,,,,,,,Landscape overview,,,,,,,Landscape overview,,,,
2026-07-01,1,42,DOAJ,0,DOAJ,0,,,,,,,,,,,,,,,,,Landscape overview,,,,,,,,,,,
2026-07-01,1,43,Research Software Directory,0,,,,,Interoperability,0,Long term funding (sustainability),0,,,,,,,,,,,Interoperability framework,,,,,,,Development self-assessment tool,Bigger room!,0,,
2026-07-01,1,44,Dans,0,,,,,Focus,0,,,,,,,,,,,,,,Ggg,0,,,,,,More connection to information managers in organisaties - they know the best what the researchers needs are,0,,
2026-07-01,1,45,COS UNL rep,0,,,,,Coordination (regie) / leadership,0,,,,,,,,,,,,,Values & principles,,,,,,,other...,1 or 2 show cases of running projects. Short pitches.,0,,
2026-07-01,1,46,None,0,,,,,Create incentives (in the osnl call),0,"Reinventing the wheel (spii, osnl projects, eosc, eosc-nl - to some extent all working on the same thing)",0,Sustainability,0,Resources are not pooled (enough) for the whole sector or for national initiatives. Fragmentation will therefore always exist,0,,,,,,,Values & principles,,,,,,,other...,Relation with EOSC(-NL) should be addressed,0,Try to engage CIO's and board members too: people (partially)in charge of money (and what to spend it on),0
2026-07-01,1,47,open science communities,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,1,48,SPI-Birds,0,,,,,need for small-scale/niche infrastructure solutions,0,,,,,,,,,,,,,Interoperability framework,,,,,,,Shared terminology,,,,
2026-07-01,1,49,4TU.ResearchData,0,,,,,Sharpening the vision,0,,,,,,,,,,,,,Interoperability framework,,,,,,,Landscape overview,,,,
2026-07-01,1,50,ODISSEI,0,,,,,Including the GWI,0,,,,,,,,,,,,,Landscape overview,,,,,,,,,,,
2026-07-01,1,51,DURF Dutch Repository Federation,0,,,,,Governance,0,Community,0,"Making everyine feel they are part of a common community, not in competition",0,A common language,0,,,,,,,Landscape overview,,,,,,,Landscape overview,"Show examples.of the researcher journey process, interacting with internal and external systems",0,,
2026-07-01,1,52,Cos,0,,,,,Sustainability,0,,,,,,,,,,,,,Landscape overview,,,,,,,,,,,
2026-07-01,1,53,"OSC, ORI, RDM, RMS, ...",0,MICR,0,SLIPPRS,0,"Integration of domains (osc, ori, rdm, rms). Central indexing and dissemination, connect national infrastructure with local infrastruct, and with international infrastructure.",0,Guard digital sovereignty. Guard scientific integrity.,0,"National coordination of local initiatives, also in the interest of cost effectiveness and sustainability.  Universities and HBO cannot individually develop and maintain local infrastructures.",0,,,,,,,,,Interoperability framework,Reference architecture -> fit gap analysis with existing infrastructure -> project plans to develop infrastructural components that fill the gaps -> budget/ finance plans to carry out those projects.,0,,,,,Other use- case,,,,
2026-07-01,1,54,Yoda,0,,,,,Governance,0,Project-based planning,0,,,,,,,,,,,Values & principles,,,,,,,Landscape overview,"Work definitions, boundaries of the terms Values, Principles, etc. (preferably with examples)",0,,
2026-07-01,1,55,WUR journal browser,0,,,,,Sustainability,0,,,,,,,,,,,,,Interoperability framework,,,,,,,Landscape overview,,,,
2026-07-01,1,56,Chains of the Past,0,,,,,Communication,0,Keeping open science democratic/open,0,,,,,,,,,,,Values & principles,,,,,,,,,,,
2026-07-01,1,57,CRIS,0,OO Monitor,0,Broccoli,0,Willingness to give up institutional autonomy ?,0,,,,,,,,,,,,,Values & principles,,,,,,,,,,,
2026-07-01,1,58,,,,,,,"Many smaller infrastructure projects, relevant for certain communities, whose connection relies on bigger national infrastructures who may not have capacity",0,,,,,,,,,,,,,Values & principles,,,,,,,,,,,
2026-07-01,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announce inspraak moments earlier. Explain things better. Send a document with a proper management summary. Explain the connection with our OSNL project. We are not here to check your inspraak boxes,0,,
